Nome do Produto,Categoria do Produto,Preço do Produto (R$),Quantidade de Estoque,Filial,Data da Venda
Blush em pó,Eletrodomésticos,79.41,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,85.47,Indisponivel,Filial 8,Indisponivel
Base líquida,Roupas,75.02,Indisponivel,Filial 8,Indisponivel
Base líquida,Roupas,44.94,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Alimentos,58.63,Indisponivel,Filial 7,Indisponivel
Blush em pó,Roupas,50.79,Indisponivel,Filial 7,Indisponivel
Corretivo,Eletrodomésticos,20.46,Indisponivel,Filial 4,Indisponivel
Pó compacto,Roupas,85.56,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Roupas,31.92,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Alimentos,42.58,Indisponivel,Filial 3,Indisponivel
Corretivo,Eletrodomésticos,92.03,Indisponivel,Filial 8,Indisponivel
Lápis de sobrancelha,Roupas,91.01,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Eletrônicos,40.01,Indisponivel,Filial 7,Indisponivel
Base líquida,Alimentos,37.56,Indisponivel,Filial 4,Indisponivel
Blush em pó,Roupas,9.93,Indisponivel,Filial 6,Indisponivel
Batom matte,Eletrônicos,80.34,Indisponivel,Filial 2,Indisponivel
Pó compacto,Alimentos,67.77,Indisponivel,Filial 7,Indisponivel
Batom matte,Roupas,94.63,Indisponivel,Filial 3,Indisponivel
Corretivo,Roupas,67.85,Indisponivel,Filial 1,Indisponivel
Sombra de olhos,Eletrônicos,54.05,Indisponivel,Filial 1,Indisponivel
Máscara de cílios,Alimentos,93.16,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Roupas,44.13,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Roupas,41.87,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrônicos,49.69,Indisponivel,Filial 3,Indisponivel
Lápis de sobrancelha,Alimentos,3.77,Indisponivel,Filial 5,Indisponivel
Máscara de cílios,Eletrônicos,37.85,Indisponivel,Filial 5,Indisponivel
Pó compacto,Eletrônicos,80.5,Indisponivel,Filial 5,Indisponivel
Base líquida,Eletrônicos,61.89,Indisponivel,Filial 9,Indisponivel
Lápis de sobrancelha,Eletrônicos,79.26,Indisponivel,Filial 5,Indisponivel
Pó compacto,Alimentos,72.19,Indisponivel,Filial 4,Indisponivel
Batom matte,Eletrodomésticos,22.05,Indisponivel,Filial 9,Indisponivel
Blush em pó,Eletrodomésticos,69.91,Indisponivel,Filial 7,Indisponivel
Pó compacto,Eletrônicos,60.83,Indisponivel,Filial 10,Indisponivel
Sombra de olhos,Alimentos,55.75,Indisponivel,Filial 5,Indisponivel
Sombra de olhos,Eletrônicos,22.32,Indisponivel,Filial 5,Indisponivel
Base líquida,Alimentos,60.37,Indisponivel,Filial 2,Indisponivel
Batom matte,Alimentos,15.07,Indisponivel,Filial 9,Indisponivel
Base líquida,Eletrônicos,67.92,Indisponivel,Filial 4,Indisponivel
Pó compacto,Eletrônicos,84.48,Indisponivel,Filial 3,Indisponivel
Corretivo,Eletrônicos,70.08,Indisponivel,Filial 1,Indisponivel
Pó compacto,Roupas,25.96,Indisponivel,Filial 9,Indisponivel
Batom matte,Alimentos,40.67,Indisponivel,Filial 1,Indisponivel
Sombra de olhos,Alimentos,83.64,Indisponivel,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,26.06,Indisponivel,Filial 1,Indisponivel
Sombra de olhos,Eletrodomésticos,58.83,Indisponivel,Filial 4,Indisponivel
Blush em pó,Alimentos,48.5,Indisponivel,Filial 5,Indisponivel
Pó compacto,Roupas,75.61,Indisponivel,Filial 5,Indisponivel
Máscara de cílios,Eletrônicos,62.89,Indisponivel,Filial 6,Indisponivel
